experimento,generacion,fuego_pct,vegetacion_pct,bosque_pct,cenizas_pct,vacio_pct
Exp1_Sin_Viento_Humedad_Baja,1,0.28,14.72,84.96,0.04,0.0
Exp1_Sin_Viento_Humedad_Baja,2,0.52,14.56,84.84,0.08,0.0
Exp1_Sin_Viento_Humedad_Baja,3,0.92,14.36,84.4,0.32,0.0
Exp1_Sin_Viento_Humedad_Baja,4,1.28,13.96,84.08,0.68,0.0
Exp1_Sin_Viento_Humedad_Baja,5,1.48,13.6,83.48,1.4,0.04
Exp1_Sin_Viento_Humedad_Baja,6,2.16,13.36,82.4,2.0,0.08
Exp1_Sin_Viento_Humedad_Baja,7,3.16,12.88,80.92,2.72,0.32
Exp1_Sin_Viento_Humedad_Baja,8,4.56,12.24,78.68,3.84,0.68
Exp1_Sin_Viento_Humedad_Baja,9,5.44,11.8,76.12,5.2,1.44
Exp1_Sin_Viento_Humedad_Baja,10,7.32,10.96,72.28,7.36,2.08
Exp1_Sin_Viento_Humedad_Baja,11,8.84,10.32,68.08,9.76,3.0
Exp1_Sin_Viento_Humedad_Baja,12,9.08,9.68,64.04,12.76,4.44
Exp1_Sin_Viento_Humedad_Baja,13,8.96,9.04,59.84,15.64,6.52
Exp1_Sin_Viento_Humedad_Baja,14,10.0,8.36,54.88,17.48,9.28
Exp1_Sin_Viento_Humedad_Baja,15,10.24,7.44,50.6,19.08,12.64
Exp1_Sin_Viento_Humedad_Baja,16,9.84,6.8,45.76,20.56,17.04
Exp1_Sin_Viento_Humedad_Baja,17,10.48,6.4,40.8,20.48,21.84
Exp1_Sin_Viento_Humedad_Baja,18,9.76,5.72,36.72,21.36,26.44
Exp1_Sin_Viento_Humedad_Baja,19,9.08,5.36,32.32,22.08,31.16
Exp1_Sin_Viento_Humedad_Baja,20,9.44,4.92,27.96,20.8,36.88
Exp1_Sin_Viento_Humedad_Baja,21,8.8,4.6,23.96,20.96,41.68
Exp1_Sin_Viento_Humedad_Baja,22,8.12,4.12,20.48,20.24,47.04
Exp1_Sin_Viento_Humedad_Baja,23,7.48,3.8,17.24,19.16,52.32
Exp1_Sin_Viento_Humedad_Baja,24,7.08,3.6,13.88,18.72,56.72
Exp1_Sin_Viento_Humedad_Baja,25,6.8,3.68,10.88,17.32,61.32
Exp1_Sin_Viento_Humedad_Baja,26,5.56,3.88,8.64,16.24,65.68
Exp1_Sin_Viento_Humedad_Baja,27,4.44,4.0,6.64,14.92,70.0
Exp1_Sin_Viento_Humedad_Baja,28,3.84,4.12,5.08,13.08,73.88
Exp1_Sin_Viento_Humedad_Baja,29,2.88,4.12,4.04,11.68,77.28
Exp1_Sin_Viento_Humedad_Baja,30,2.4,4.56,2.8,9.76,80.48
Exp1_Sin_Viento_Humedad_Baja,31,2.32,4.6,2.04,7.64,83.4
Exp1_Sin_Viento_Humedad_Baja,32,1.64,4.92,1.36,6.72,85.36
Exp1_Sin_Viento_Humedad_Baja,33,1.32,5.48,0.8,5.4,87.0
Exp1_Sin_Viento_Humedad_Baja,34,0.92,5.92,0.56,4.36,88.24
Exp1_Sin_Viento_Humedad_Baja,35,0.44,6.16,0.56,3.76,89.08
Exp1_Sin_Viento_Humedad_Baja,36,0.08,7.08,0.56,2.64,89.64
Exp1_Sin_Viento_Humedad_Baja,37,0.0,7.4,0.6,1.76,90.24
Exp1_Sin_Viento_Humedad_Baja,38,0.0,8.12,0.64,1.0,90.24
Exp1_Sin_Viento_Humedad_Baja,39,0.0,8.92,0.64,0.44,90.0
Exp1_Sin_Viento_Humedad_Baja,40,0.0,9.48,0.68,0.08,89.76
Exp1_Sin_Viento_Humedad_Baja,41,0.0,10.04,0.72,0.0,89.24
Exp1_Sin_Viento_Humedad_Baja,42,0.0,10.4,0.8,0.0,88.8
Exp1_Sin_Viento_Humedad_Baja,43,0.0,10.96,0.92,0.0,88.12
Exp1_Sin_Viento_Humedad_Baja,44,0.0,11.28,1.0,0.0,87.72
Exp1_Sin_Viento_Humedad_Baja,45,0.0,11.88,1.08,0.0,87.04
Exp1_Sin_Viento_Humedad_Baja,46,0.0,12.64,1.12,0.0,86.24
Exp1_Sin_Viento_Humedad_Baja,47,0.0,13.12,1.24,0.0,85.64
Exp1_Sin_Viento_Humedad_Baja,48,0.0,13.48,1.28,0.0,85.24
Exp1_Sin_Viento_Humedad_Baja,49,0.0,14.32,1.4,0.0,84.28
Exp1_Sin_Viento_Humedad_Baja,50,0.0,14.96,1.52,0.0,83.52
Exp1_Sin_Viento_Humedad_Baja,51,0.0,15.44,1.72,0.0,82.84
Exp1_Sin_Viento_Humedad_Baja,52,0.0,15.92,1.76,0.0,82.32
Exp1_Sin_Viento_Humedad_Baja,53,0.0,16.6,1.8,0.0,81.6
Exp1_Sin_Viento_Humedad_Baja,54,0.04,17.04,1.88,0.0,81.04
Exp1_Sin_Viento_Humedad_Baja,55,0.12,17.32,2.12,0.04,80.4
Exp1_Sin_Viento_Humedad_Baja,56,0.12,17.68,2.36,0.16,79.68
Exp1_Sin_Viento_Humedad_Baja,57,0.16,17.8,2.88,0.24,78.92
Exp1_Sin_Viento_Humedad_Baja,58,0.12,18.08,3.12,0.36,78.32
Exp1_Sin_Viento_Humedad_Baja,59,0.12,18.48,3.24,0.4,77.76
Exp1_Sin_Viento_Humedad_Baja,60,0.16,18.56,3.56,0.4,77.32
Exp2_Viento_Fuerte_Este,1,0.2,51.12,33.88,0.04,14.76
